,Notes,PC Set,Prime Form,Accidents
1032,Cn Dn Eb F# Gb A# Bb,02366AA,0024588,"(0, 0, -1, 1, -1, 1, -1)"
1033,Cn Dn Eb F# Gb A# Bn,02366AB,0034678,"(0, 0, -1, 1, -1, 1, 0)"
1034,Cn Dn Eb F# Gb A# B#,02366A0,0034668,"(0, 0, -1, 1, -1, 1, 1)"
1035,Cn Dn Eb F# Gn Ab Bb,023678A,0124689,"(0, 0, -1, 1, 0, -1, -1)"
1036,Cn Dn Eb F# Gn Ab Bn,023678B,0125689,"(0, 0, -1, 1, 0, -1, 0)"
1037,Cn Dn Eb F# Gn Ab B#,0236780,0023678,"(0, 0, -1, 1, 0, -1, 1)"
1038,Cn Dn Eb F# Gn An Bb,023679A,0134689,"(0, 0, -1, 1, 0, 0, -1)"
1039,Cn Dn Eb F# Gn An Bn,023679B,0134689,"(0, 0, -1, 1, 0, 0, 0)"
1040,Cn Dn Eb F# Gn An B#,0236790,0133689,"(0, 0, -1, 1, 0, 0, 1)"
1041,Cn Dn Eb F# Gn A# Bb,02367AA,0135589,"(0, 0, -1, 1, 0, 1, -1)"
1042,Cn Dn Eb F# Gn A# Bn,02367AB,0134589,"(0, 0, -1, 1, 0, 1, 0)"
1043,Cn Dn Eb F# Gn A# B#,02367A0,0133589,"(0, 0, -1, 1, 0, 1, 1)"
1044,Cn Dn Eb F# G# Ab Bb,023688A,0135779,"(0, 0, -1, 1, 1, -1, -1)"
1045,Cn Dn Eb F# G# Ab Bn,023688B,0134779,"(0, 0, -1, 1, 1, -1, 0)"
1046,Cn Dn Eb F# G# Ab B#,0236880,0023688,"(0, 0, -1, 1, 1, -1, 1)"
1047,Cn Dn Eb F# G# An Bb,023689A,0135679,"(0, 0, -1, 1, 1, 0, -1)"
1048,Cn Dn Eb F# G# An Bn,023689B,0134679,"(0, 0, -1, 1, 1, 0, 0)"
1049,Cn Dn Eb F# G# An B#,0236890,0133679,"(0, 0, -1, 1, 1, 0, 1)"
1050,Cn Dn Eb F# G# A# Bb,02368AA,0135579,"(0, 0, -1, 1, 1, 1, -1)"
1051,Cn Dn Eb F# G# A# Bn,02368AB,0134579,"(0, 0, -1, 1, 1, 1, 0)"
1052,Cn Dn Eb F# G# A# B#,02368A0,0133579,"(0, 0, -1, 1, 1, 1, 1)"
1053,Cn Dn En Fb Gb Ab Bb,024468A,022468A,"(0, 0, 0, -1, -1, -1, -1)"
1054,Cn Dn En Fb Gb Ab Bn,024468B,0135579,"(0, 0, 0, -1, -1, -1, 0)"
1055,Cn Dn En Fb Gb Ab B#,0244680,0024468,"(0, 0, 0, -1, -1, -1, 1)"
1056,Cn Dn En Fb Gb An Bb,024469A,0135779,"(0, 0, 0, -1, -1, 0, -1)"
1057,Cn Dn En Fb Gb An Bn,024469B,0224679,"(0, 0, 0, -1, -1, 0, 0)"
1058,Cn Dn En Fb Gb An B#,0244690,0224669,"(0, 0, 0, -1, -1, 0, 1)"
1059,Cn Dn En Fb Gb A# Bb,02446AA,0024668,"(0, 0, 0, -1, -1, 1, -1)"
1060,Cn Dn En Fb Gb A# Bn,02446AB,0124668,"(0, 0, 0, -1, -1, 1, 0)"
1061,Cn Dn En Fb Gb A# B#,02446A0,0224668,"(0, 0, 0, -1, -1, 1, 1)"
1062,Cn Dn En Fb Gn Ab Bb,024478A,0024689,"(0, 0, 0, -1, 0, -1, -1)"
1063,Cn Dn En Fb Gn Ab Bn,024478B,0024589,"(0, 0, 0, -1, 0, -1, 0)"
1064,Cn Dn En Fb Gn Ab B#,0244780,0024478,"(0, 0, 0, -1, 0, -1, 1)"
1065,Cn Dn En Fb Gn An Bb,024479A,0024679,"(0, 0, 0, -1, 0, 0, -1)"
1066,Cn Dn En Fb Gn An Bn,024479B,0024579,"(0, 0, 0, -1, 0, 0, 0)"
1067,Cn Dn En Fb Gn An B#,0244790,0024479,"(0, 0, 0, -1, 0, 0, 1)"
1068,Cn Dn En Fb Gn A# Bb,02447AA,0024669,"(0, 0, 0, -1, 0, 1, -1)"
1069,Cn Dn En Fb Gn A# Bn,02447AB,0024569,"(0, 0, 0, -1, 0, 1, 0)"
1070,Cn Dn En Fb Gn A# B#,02447A0,0024469,"(0, 0, 0, -1, 0, 1, 1)"
1071,Cn Dn En Fb G# Ab Bb,024488A,0024688,"(0, 0, 0, -1, 1, -1, -1)"
1072,Cn Dn En Fb G# Ab Bn,024488B,0024588,"(0, 0, 0, -1, 1, -1, 0)"
1073,Cn Dn En Fb G# Ab B#,0244880,0024488,"(0, 0, 0, -1, 1, -1, 1)"
1074,Cn Dn En Fb G# An Bb,024489A,0024678,"(0, 0, 0, -1, 1, 0, -1)"
1075,Cn Dn En Fb G# An Bn,024489B,0024578,"(0, 0, 0, -1, 1, 0, 0)"
1076,Cn Dn En Fb G# An B#,0244890,0024478,"(0, 0, 0, -1, 1, 0, 1)"
1077,Cn Dn En Fb G# A# Bb,02448AA,0024668,"(0, 0, 0, -1, 1, 1, -1)"
1078,Cn Dn En Fb G# A# Bn,02448AB,0024568,"(0, 0, 0, -1, 1, 1, 0)"
1079,Cn Dn En Fb G# A# B#,02448A0,0024468,"(0, 0, 0, -1, 1, 1, 1)"
1080,Cn Dn En Fn Gb Ab Bb,024568A,023468A,"(0, 0, 0, 0, -1, -1, -1)"
1081,Cn Dn En Fn Gb Ab Bn,024568B,0135679,"(0, 0, 0, 0, -1, -1, 0)"
1082,Cn Dn En Fn Gb Ab B#,0245680,0024568,"(0, 0, 0, 0, -1, -1, 1)"
1083,Cn Dn En Fn Gb An Bb,024569A,0124689,"(0, 0, 0, 0, -1, 0, -1)"
1084,Cn Dn En Fn Gb An Bn,024569B,0124679,"(0, 0, 0, 0, -1, 0, 0)"
1085,Cn Dn En Fn Gb An B#,0245690,0124669,"(0, 0, 0, 0, -1, 0, 1)"
1086,Cn Dn En Fn Gb A# Bb,02456AA,0024678,"(0, 0, 0, 0, -1, 1, -1)"
1087,Cn Dn En Fn Gb A# Bn,02456AB,0124678,"(0, 0, 0, 0, -1, 1, 0)"
1088,Cn Dn En Fn Gb A# B#,02456A0,0124668,"(0, 0, 0, 0, -1, 1, 1)"
1089,Cn Dn En Fn Gn Ab Bb,024578A,023568A,"(0, 0, 0, 0, 0, -1, -1)"
1090,Cn Dn En Fn Gn Ab Bn,024578B,0134689,"(0, 0, 0, 0, 0, -1, 0)"
1091,Cn Dn En Fn Gn Ab B#,0245780,0024578,"(0, 0, 0, 0, 0, -1, 1)"
1092,Cn Dn En Fn Gn An Bb,024579A,023578A,"(0, 0, 0, 0, 0, 0, -1)"
1093,Cn Dn En Fn Gn An Bn,024579B,013578A,"(0, 0, 0, 0, 0, 0, 0)"
1094,Cn Dn En Fn Gn An B#,0245790,0024579,"(0, 0, 0, 0, 0, 0, 1)"
1095,Cn Dn En Fn Gn A# Bb,02457AA,0024679,"(0, 0, 0, 0, 0, 1, -1)"
1096,Cn Dn En Fn Gn A# Bn,02457AB,0124679,"(0, 0, 0, 0, 0, 1, 0)"
1097,Cn Dn En Fn Gn A# B#,02457A0,0224679,"(0, 0, 0, 0, 0, 1, 1)"
1098,Cn Dn En Fn G# Ab Bb,024588A,0024689,"(0, 0, 0, 0, 1, -1, -1)"
1099,Cn Dn En Fn G# Ab Bn,024588B,0034689,"(0, 0, 0, 0, 1, -1, 0)"
1100,Cn Dn En Fn G# Ab B#,0245880,0024588,"(0, 0, 0, 0, 1, -1, 1)"
1101,Cn Dn En Fn G# An Bb,024589A,0124689,"(0, 0, 0, 0, 1, 0, -1)"
1102,Cn Dn En Fn G# An Bn,024589B,0134689,"(0, 0, 0, 0, 1, 0, 0)"
1103,Cn Dn En Fn G# An B#,0245890,0135589,"(0, 0, 0, 0, 1, 0, 1)"
1104,Cn Dn En Fn G# A# Bb,02458AA,0135779,"(0, 0, 0, 0, 1, 1, -1)"
1105,Cn Dn En Fn G# A# Bn,02458AB,0135679,"(0, 0, 0, 0, 1, 1, 0)"
1106,Cn Dn En Fn G# A# B#,02458A0,0135579,"(0, 0, 0, 0, 1, 1, 1)"
1107,Cn Dn En F# Gb Ab Bb,024668A,024468A,"(0, 0, 0, 1, -1, -1, -1)"
1108,Cn Dn En F# Gb Ab Bn,024668B,0135779,"(0, 0, 0, 1, -1, -1, 0)"
1109,Cn Dn En F# Gb Ab B#,0246680,0024668,"(0, 0, 0, 1, -1, -1, 1)"
1110,Cn Dn En F# Gb An Bb,024669A,0024689,"(0, 0, 0, 1, -1, 0, -1)"
1111,Cn Dn En F# Gb An Bn,024669B,0024679,"(0, 0, 0, 1, -1, 0, 0)"
1112,Cn Dn En F# Gb An B#,0246690,0024669,"(0, 0, 0, 1, -1, 0, 1)"
1113,Cn Dn En F# Gb A# Bb,02466AA,0024688,"(0, 0, 0, 1, -1, 1, -1)"
1114,Cn Dn En F# Gb A# Bn,02466AB,0024678,"(0, 0, 0, 1, -1, 1, 0)"
1115,Cn Dn En F# Gb A# B#,02466A0,0024668,"(0, 0, 0, 1, -1, 1, 1)"
1116,Cn Dn En F# Gn Ab Bb,024678A,024568A,"(0, 0, 0, 1, 0, -1, -1)"
1117,Cn Dn En F# Gn Ab Bn,024678B,0124689,"(0, 0, 0, 1, 0, -1, 0)"
1118,Cn Dn En F# Gn Ab B#,0246780,0024678,"(0, 0, 0, 1, 0, -1, 1)"
1119,Cn Dn En F# Gn An Bb,024679A,023568A,"(0, 0, 0, 1, 0, 0, -1)"
1120,Cn Dn En F# Gn An Bn,024679B,013568A,"(0, 0, 0, 1, 0, 0, 0)"
1121,Cn Dn En F# Gn An B#,0246790,0024679,"(0, 0, 0, 1, 0, 0, 1)"
1122,Cn Dn En F# Gn A# Bb,02467AA,0024689,"(0, 0, 0, 1, 0, 1, -1)"
1123,Cn Dn En F# Gn A# Bn,02467AB,0124689,"(0, 0, 0, 1, 0, 1, 0)"
1124,Cn Dn En F# Gn A# B#,02467A0,0135779,"(0, 0, 0, 1, 0, 1, 1)"
1125,Cn Dn En F# G# Ab Bb,024688A,024468A,"(0, 0, 0, 1, 1, -1, -1)"
1126,Cn Dn En F# G# Ab Bn,024688B,0024689,"(0, 0, 0, 1, 1, -1, 0)"
1127,Cn Dn En F# G# Ab B#,0246880,0024688,"(0, 0, 0, 1, 1, -1, 1)"
1128,Cn Dn En F# G# An Bb,024689A,023468A,"(0, 0, 0, 1, 1, 0, -1)"
1129,Cn Dn En F# G# An Bn,024689B,013468A,"(0, 0, 0, 1, 1, 0, 0)"
1130,Cn Dn En F# G# An B#,0246890,0024689,"(0, 0, 0, 1, 1, 0, 1)"
1131,Cn Dn En F# G# A# Bb,02468AA,022468A,"(0, 0, 0, 1, 1, 1, -1)"
1132,Cn Dn En F# G# A# Bn,02468AB,012468A,"(0, 0, 0, 1, 1, 1, 0)"
1133,Cn Dn En F# G# A# B#,02468A0,002468A,"(0, 0, 0, 1, 1, 1, 1)"
1134,Cn Dn E# Fb Gb Ab Bb,025468A,013579B,"(0, 0, 1, -1, -1, -1, -1)"
1135,Cn Dn E# Fb Gb Ab Bn,025468B,013589B,"(0, 0, 1, -1, -1, -1, 0)"
1136,Cn Dn E# Fb Gb Ab B#,0254680,002568A,"(0, 0, 1, -1, -1, -1, 1)"
1137,Cn Dn E# Fb Gb An Bb,025469A,013679B,"(0, 0, 1, -1, -1, 0, -1)"
1138,Cn Dn E# Fb Gb An Bn,025469B,013689B,"(0, 0, 1, -1, -1, 0, 0)"
1139,Cn Dn E# Fb Gb An B#,0254690,013699B,"(0, 0, 1, -1, -1, 0, 1)"
1140,Cn Dn E# Fb Gb A# Bb,02546AA,002478A,"(0, 0, 1, -1, -1, 1, -1)"
1141,Cn Dn E# Fb Gb A# Bn,02546AB,012478A,"(0, 0, 1, -1, -1, 1, 0)"
1142,Cn Dn E# Fb Gb A# B#,02546A0,022478A,"(0, 0, 1, -1, -1, 1, 1)"
1143,Cn Dn E# Fb Gn Ab Bb,025478A,014579B,"(0, 0, 1, -1, 0, -1, -1)"
1144,Cn Dn E# Fb Gn Ab Bn,025478B,014589B,"(0, 0, 1, -1, 0, -1, 0)"
1145,Cn Dn E# Fb Gn Ab B#,0254780,002569A,"(0, 0, 1, -1, 0, -1, 1)"
1146,Cn Dn E# Fb Gn An Bb,025479A,014679B,"(0, 0, 1, -1, 0, 0, -1)"
1147,Cn Dn E# Fb Gn An Bn,025479B,014689B,"(0, 0, 1, -1, 0, 0, 0)"
1148,Cn Dn E# Fb Gn An B#,0254790,014699B,"(0, 0, 1, -1, 0, 0, 1)"
1149,Cn Dn E# Fb Gn A# Bb,02547AA,014779B,"(0, 0, 1, -1, 0, 1, -1)"
1150,Cn Dn E# Fb Gn A# Bn,02547AB,014789B,"(0, 0, 1, -1, 0, 1, 0)"
1151,Cn Dn E# Fb Gn A# B#,02547A0,014799B,"(0, 0, 1, -1, 0, 1, 1)"
1152,Cn Dn E# Fb G# Ab Bb,025488A,002469A,"(0, 0, 1, -1, 1, -1, -1)"
1153,Cn Dn E# Fb G# Ab Bn,025488B,003469A,"(0, 0, 1, -1, 1, -1, 0)"
1154,Cn Dn E# Fb G# Ab B#,0254880,004469A,"(0, 0, 1, -1, 1, -1, 1)"
1155,Cn Dn E# Fb G# An Bb,025489A,012469A,"(0, 0, 1, -1, 1, 0, -1)"
1156,Cn Dn E# Fb G# An Bn,025489B,013469A,"(0, 0, 1, -1, 1, 0, 0)"
1157,Cn Dn E# Fb G# An B#,0254890,014469A,"(0, 0, 1, -1, 1, 0, 1)"
1158,Cn Dn E# Fb G# A# Bb,02548AA,014688A,"(0, 0, 1, -1, 1, 1, -1)"
1159,Cn Dn E# Fb G# A# Bn,02548AB,014678A,"(0, 0, 1, -1, 1, 1, 0)"
1160,Cn Dn E# Fb G# A# B#,02548A0,014668A,"(0, 0, 1, -1, 1, 1, 1)"
1161,Cn Dn E# Fn Gb Ab Bb,025568A,0013579,"(0, 0, 1, 0, -1, -1, -1)"
1162,Cn Dn E# Fn Gb Ab Bn,025568B,0013679,"(0, 0, 1, 0, -1, -1, 0)"
1163,Cn Dn E# Fn Gb Ab B#,0255680,0025568,"(0, 0, 1, 0, -1, -1, 1)"
1164,Cn Dn E# Fn Gb An Bb,025569A,0014579,"(0, 0, 1, 0, -1, 0, -1)"
1165,Cn Dn E# Fn Gb An Bn,025569B,0014679,"(0, 0, 1, 0, -1, 0, 0)"
1166,Cn Dn E# Fn Gb An B#,0255690,0014779,"(0, 0, 1, 0, -1, 0, 1)"
1167,Cn Dn E# Fn Gb A# Bb,02556AA,0024778,"(0, 0, 1, 0, -1, 1, -1)"
1168,Cn Dn E# Fn Gb A# Bn,02556AB,0114678,"(0, 0, 1, 0, -1, 1, 0)"
1169,Cn Dn E# Fn Gb A# B#,02556A0,0114668,"(0, 0, 1, 0, -1, 1, 1)"
1170,Cn Dn E# Fn Gn Ab Bb,025578A,0023579,"(0, 0, 1, 0, 0, -1, -1)"
1171,Cn Dn E# Fn Gn Ab Bn,025578B,0023679,"(0, 0, 1, 0, 0, -1, 0)"
1172,Cn Dn E# Fn Gn Ab B#,0255780,0025578,"(0, 0, 1, 0, 0, -1, 1)"
1173,Cn Dn E# Fn Gn An Bb,025579A,0024579,"(0, 0, 1, 0, 0, 0, -1)"
1174,Cn Dn E# Fn Gn An Bn,025579B,0024679,"(0, 0, 1, 0, 0, 0, 0)"
1175,Cn Dn E# Fn Gn An B#,0255790,0024779,"(0, 0, 1, 0, 0, 0, 1)"
1176,Cn Dn E# Fn Gn A# Bb,02557AA,0025579,"(0, 0, 1, 0, 0, 1, -1)"
1177,Cn Dn E# Fn Gn A# Bn,02557AB,0025679,"(0, 0, 1, 0, 0, 1, 0)"
1178,Cn Dn E# Fn Gn A# B#,02557A0,0025779,"(0, 0, 1, 0, 0, 1, 1)"
1179,Cn Dn E# Fn G# Ab Bb,025588A,0033579,"(0, 0, 1, 0, 1, -1, -1)"
1180,Cn Dn E# Fn G# Ab Bn,025588B,0033679,"(0, 0, 1, 0, 1, -1, 0)"
1181,Cn Dn E# Fn G# Ab B#,0255880,0025588,"(0, 0, 1, 0, 1, -1, 1)"
1182,Cn Dn E# Fn G# An Bb,025589A,0034579,"(0, 0, 1, 0, 1, 0, -1)"
1183,Cn Dn E# Fn G# An Bn,025589B,0034679,"(0, 0, 1, 0, 1, 0, 0)"
1184,Cn Dn E# Fn G# An B#,0255890,0034779,"(0, 0, 1, 0, 1, 0, 1)"
1185,Cn Dn E# Fn G# A# Bb,02558AA,0035579,"(0, 0, 1, 0, 1, 1, -1)"
1186,Cn Dn E# Fn G# A# Bn,02558AB,0035679,"(0, 0, 1, 0, 1, 1, 0)"
1187,Cn Dn E# Fn G# A# B#,02558A0,0035779,"(0, 0, 1, 0, 1, 1, 1)"
1188,Cn Dn E# F# Gb Ab Bb,025668A,0113579,"(0, 0, 1, 1, -1, -1, -1)"
1189,Cn Dn E# F# Gb Ab Bn,025668B,0113679,"(0, 0, 1, 1, -1, -1, 0)"
1190,Cn Dn E# F# Gb Ab B#,0256680,0025668,"(0, 0, 1, 1, -1, -1, 1)"
1191,Cn Dn E# F# Gb An Bb,025669A,0114579,"(0, 0, 1, 1, -1, 0, -1)"
1192,Cn Dn E# F# Gb An Bn,025669B,0114679,"(0, 0, 1, 1, -1, 0, 0)"
1193,Cn Dn E# F# Gb An B#,0256690,0114779,"(0, 0, 1, 1, -1, 0, 1)"
1194,Cn Dn E# F# Gb A# Bb,02566AA,0014688,"(0, 0, 1, 1, -1, 1, -1)"
1195,Cn Dn E# F# Gb A# Bn,02566AB,0014678,"(0, 0, 1, 1, -1, 1, 0)"
1196,Cn Dn E# F# Gb A# B#,02566A0,0014668,"(0, 0, 1, 1, -1, 1, 1)"
1197,Cn Dn E# F# Gn Ab Bb,025678A,0123579,"(0, 0, 1, 1, 0, -1, -1)"
1198,Cn Dn E# F# Gn Ab Bn,025678B,0123679,"(0, 0, 1, 1, 0, -1, 0)"
1199,Cn Dn E# F# Gn Ab B#,0256780,0025678,"(0, 0, 1, 1, 0, -1, 1)"
1200,Cn Dn E# F# Gn An Bb,025679A,0124579,"(0, 0, 1, 1, 0, 0, -1)"
1201,Cn Dn E# F# Gn An Bn,025679B,0124679,"(0, 0, 1, 1, 0, 0, 0)"
1202,Cn Dn E# F# Gn An B#,0256790,0124779,"(0, 0, 1, 1, 0, 0, 1)"
1203,Cn Dn E# F# Gn A# Bb,02567AA,0125579,"(0, 0, 1, 1, 0, 1, -1)"
1204,Cn Dn E# F# Gn A# Bn,02567AB,0125679,"(0, 0, 1, 1, 0, 1, 0)"
1205,Cn Dn E# F# Gn A# B#,02567A0,0125779,"(0, 0, 1, 1, 0, 1, 1)"
1206,Cn Dn E# F# G# Ab Bb,025688A,0133579,"(0, 0, 1, 1, 1, -1, -1)"
1207,Cn Dn E# F# G# Ab Bn,025688B,0133679,"(0, 0, 1, 1, 1, -1, 0)"
1208,Cn Dn E# F# G# Ab B#,0256880,0023688,"(0, 0, 1, 1, 1, -1, 1)"
1209,Cn Dn E# F# G# An Bb,025689A,0134579,"(0, 0, 1, 1, 1, 0, -1)"
1210,Cn Dn E# F# G# An Bn,025689B,0134679,"(0, 0, 1, 1, 1, 0, 0)"
1211,Cn Dn E# F# G# An B#,0256890,0134779,"(0, 0, 1, 1, 1, 0, 1)"
1212,Cn Dn E# F# G# A# Bb,02568AA,0135579,"(0, 0, 1, 1, 1, 1, -1)"
1213,Cn Dn E# F# G# A# Bn,02568AB,0135679,"(0, 0, 1, 1, 1, 1, 0)"
1214,Cn Dn E# F# G# A# B#,02568A0,0135779,"(0, 0, 1, 1, 1, 1, 1)"
1215,Cn D# Eb Fb Gb Ab Bb,033468A,0013579,"(0, 1, -1, -1, -1, -1, -1)"
1216,Cn D# Eb Fb Gb Ab Bn,033468B,0013589,"(0, 1, -1, -1, -1, -1, 0)"
1217,Cn D# Eb Fb Gb Ab B#,0334680,0033468,"(0, 1, -1, -1, -1, -1, 1)"
1218,Cn D# Eb Fb Gb An Bb,033469A,0013679,"(0, 1, -1, -1, -1, 0, -1)"
1219,Cn D# Eb Fb Gb An Bn,033469B,0013689,"(0, 1, -1, -1, -1, 0, 0)"
1220,Cn D# Eb Fb Gb An B#,0334690,0013699,"(0, 1, -1, -1, -1, 0, 1)"
1221,Cn D# Eb Fb Gb A# Bb,03346AA,0025568,"(0, 1, -1, -1, -1, 1, -1)"
1222,Cn D# Eb Fb Gb A# Bn,03346AB,0125568,"(0, 1, -1, -1, -1, 1, 0)"
1223,Cn D# Eb Fb Gb A# B#,03346A0,0225568,"(0, 1, -1, -1, -1, 1, 1)"
1224,Cn D# Eb Fb Gn Ab Bb,033478A,0014579,"(0, 1, -1, -1, 0, -1, -1)"
1225,Cn D# Eb Fb Gn Ab Bn,033478B,0014589,"(0, 1, -1, -1, 0, -1, 0)"
1226,Cn D# Eb Fb Gn Ab B#,0334780,0033478,"(0, 1, -1, -1, 0, -1, 1)"
1227,Cn D# Eb Fb Gn An Bb,033479A,0014679,"(0, 1, -1, -1, 0, 0, -1)"
1228,Cn D# Eb Fb Gn An Bn,033479B,0014689,"(0, 1, -1, -1, 0, 0, 0)"
1229,Cn D# Eb Fb Gn An B#,0334790,0014699,"(0, 1, -1, -1, 0, 0, 1)"
1230,Cn D# Eb Fb Gn A# Bb,03347AA,0014779,"(0, 1, -1, -1, 0, 1, -1)"
1231,Cn D# Eb Fb Gn A# Bn,03347AB,0014789,"(0, 1, -1, -1, 0, 1, 0)"
1232,Cn D# Eb Fb Gn A# B#,03347A0,0014799,"(0, 1, -1, -1, 0, 1, 1)"
1233,Cn D# Eb Fb G# Ab Bb,033488A,0024778,"(0, 1, -1, -1, 1, -1, -1)"
1234,Cn D# Eb Fb G# Ab Bn,033488B,0034778,"(0, 1, -1, -1, 1, -1, 0)"
1235,Cn D# Eb Fb G# Ab B#,0334880,0044778,"(0, 1, -1, -1, 1, -1, 1)"
1236,Cn D# Eb Fb G# An Bb,033489A,0114678,"(0, 1, -1, -1, 1, 0, -1)"
1237,Cn D# Eb Fb G# An Bn,033489B,0114578,"(0, 1, -1, -1, 1, 0, 0)"
1238,Cn D# Eb Fb G# An B#,0334890,0114478,"(0, 1, -1, -1, 1, 0, 1)"
1239,Cn D# Eb Fb G# A# Bb,03348AA,0114668,"(0, 1, -1, -1, 1, 1, -1)"
1240,Cn D# Eb Fb G# A# Bn,03348AB,0114568,"(0, 1, -1, -1, 1, 1, 0)"
1241,Cn D# Eb Fb G# A# B#,03348A0,0114468,"(0, 1, -1, -1, 1, 1, 1)"
1242,Cn D# Eb Fn Gb Ab Bb,033568A,0023579,"(0, 1, -1, 0, -1, -1, -1)"
1243,Cn D# Eb Fn Gb Ab Bn,033568B,0023589,"(0, 1, -1, 0, -1, -1, 0)"
1244,Cn D# Eb Fn Gb Ab B#,0335680,0033568,"(0, 1, -1, 0, -1, -1, 1)"
1245,Cn D# Eb Fn Gb An Bb,033569A,0023679,"(0, 1, -1, 0, -1, 0, -1)"
1246,Cn D# Eb Fn Gb An Bn,033569B,0023689,"(0, 1, -1, 0, -1, 0, 0)"
1247,Cn D# Eb Fn Gb An B#,0335690,0023699,"(0, 1, -1, 0, -1, 0, 1)"
1248,Cn D# Eb Fn Gb A# Bb,03356AA,0025578,"(0, 1, -1, 0, -1, 1, -1)"
1249,Cn D# Eb Fn Gb A# Bn,03356AB,0125578,"(0, 1, -1, 0, -1, 1, 0)"
1250,Cn D# Eb Fn Gb A# B#,03356A0,0133668,"(0, 1, -1, 0, -1, 1, 1)"
1251,Cn D# Eb Fn Gn Ab Bb,033578A,0024579,"(0, 1, -1, 0, 0, -1, -1)"
1252,Cn D# Eb Fn Gn Ab Bn,033578B,0024589,"(0, 1, -1, 0, 0, -1, 0)"
1253,Cn D# Eb Fn Gn Ab B#,0335780,0033578,"(0, 1, -1, 0, 0, -1, 1)"
1254,Cn D# Eb Fn Gn An Bb,033579A,0024679,"(0, 1, -1, 0, 0, 0, -1)"
1255,Cn D# Eb Fn Gn An Bn,033579B,0024689,"(0, 1, -1, 0, 0, 0, 0)"
1256,Cn D# Eb Fn Gn An B#,0335790,0024699,"(0, 1, -1, 0, 0, 0, 1)"
1257,Cn D# Eb Fn Gn A# Bb,03357AA,0024779,"(0, 1, -1, 0, 0, 1, -1)"
1258,Cn D# Eb Fn Gn A# Bn,03357AB,0024789,"(0, 1, -1, 0, 0, 1, 0)"
1259,Cn D# Eb Fn Gn A# B#,03357A0,0024799,"(0, 1, -1, 0, 0, 1, 1)"
1260,Cn D# Eb Fn G# Ab Bb,033588A,0025579,"(0, 1, -1, 0, 1, -1, -1)"
1261,Cn D# Eb Fn G# Ab Bn,033588B,0025589,"(0, 1, -1, 0, 1, -1, 0)"
1262,Cn D# Eb Fn G# Ab B#,0335880,0033588,"(0, 1, -1, 0, 1, -1, 1)"
1263,Cn D# Eb Fn G# An Bb,033589A,0025679,"(0, 1, -1, 0, 1, 0, -1)"
1264,Cn D# Eb Fn G# An Bn,033589B,0025689,"(0, 1, -1, 0, 1, 0, 0)"
1265,Cn D# Eb Fn G# An B#,0335890,0025699,"(0, 1, -1, 0, 1, 0, 1)"
1266,Cn D# Eb Fn G# A# Bb,03358AA,0025779,"(0, 1, -1, 0, 1, 1, -1)"
1267,Cn D# Eb Fn G# A# Bn,03358AB,0025789,"(0, 1, -1, 0, 1, 1, 0)"
1268,Cn D# Eb Fn G# A# B#,03358A0,0024799,"(0, 1, -1, 0, 1, 1, 1)"
1269,Cn D# Eb F# Gb Ab Bb,033668A,0033579,"(0, 1, -1, 1, -1, -1, -1)"
1270,Cn D# Eb F# Gb Ab Bn,033668B,0033589,"(0, 1, -1, 1, -1, -1, 0)"
1271,Cn D# Eb F# Gb Ab B#,0336680,0033668,"(0, 1, -1, 1, -1, -1, 1)"
1272,Cn D# Eb F# Gb An Bb,033669A,0033679,"(0, 1, -1, 1, -1, 0, -1)"
1273,Cn D# Eb F# Gb An Bn,033669B,0033689,"(0, 1, -1, 1, -1, 0, 0)"
1274,Cn D# Eb F# Gb An B#,0336690,0033699,"(0, 1, -1, 1, -1, 0, 1)"
1275,Cn D# Eb F# Gb A# Bb,03366AA,0025588,"(0, 1, -1, 1, -1, 1, -1)"
1276,Cn D# Eb F# Gb A# Bn,03366AB,0033678,"(0, 1, -1, 1, -1, 1, 0)"
1277,Cn D# Eb F# Gb A# B#,03366A0,0033668,"(0, 1, -1, 1, -1, 1, 1)"
1278,Cn D# Eb F# Gn Ab Bb,033678A,0034579,"(0, 1, -1, 1, 0, -1, -1)"
1279,Cn D# Eb F# Gn Ab Bn,033678B,0034589,"(0, 1, -1, 1, 0, -1, 0)"
1280,Cn D# Eb F# Gn Ab B#,0336780,0033678,"(0, 1, -1, 1, 0, -1, 1)"
1281,Cn D# Eb F# Gn An Bb,033679A,0034679,"(0, 1, -1, 1, 0, 0, -1)"
1282,Cn D# Eb F# Gn An Bn,033679B,0034689,"(0, 1, -1, 1, 0, 0, 0)"
1283,Cn D# Eb F# Gn An B#,0336790,0034699,"(0, 1, -1, 1, 0, 0, 1)"
1284,Cn D# Eb F# Gn A# Bb,03367AA,0034779,"(0, 1, -1, 1, 0, 1, -1)"
1285,Cn D# Eb F# Gn A# Bn,03367AB,0034789,"(0, 1, -1, 1, 0, 1, 0)"
1286,Cn D# Eb F# Gn A# B#,03367A0,0025699,"(0, 1, -1, 1, 0, 1, 1)"
1287,Cn D# Eb F# G# Ab Bb,033688A,0035579,"(0, 1, -1, 1, 1, -1, -1)"
1288,Cn D# Eb F# G# Ab Bn,033688B,0035589,"(0, 1, -1, 1, 1, -1, 0)"
1289,Cn D# Eb F# G# Ab B#,0336880,0025588,"(0, 1, -1, 1, 1, -1, 1)"
